provider_id,provider_name,address,reason,source
e22fc5a9-949e-4bad-8a7d-d682aeb44b83,Grand Canyon Caverns,"Route 66 @ Mile Marker 115, Peach Springs, AZ 86434",no_street_number,go_lake_havasu
f285d717-5379-4ffa-b46d-b9d398ff520c,Lake Havasu Wakesurf Co.,"Lake Havasu City, AZ 86403",bare_city_no_street,search_audit_backfill_2026_06_30
58bbccf6-fb96-40c7-96b1-ced99e6c0f36,Wakesurf Havasu,"Lake Havasu City, AZ 86403",bare_city_no_street,search_audit_backfill_2026_06_30
9d39c454-7e8f-41c6-b792-5bd11d138a84,Optic Helicopters,"Lake Havasu City, AZ 86403",bare_city_no_street,search_audit_backfill_2026_06_30
726a2449-ce77-4b1f-bdec-1fae9e27d5c6,Havasu Helicopters,"Lake Havasu City Airport (KHII), Lake Havasu City, AZ 86404",bare_city_no_street,search_audit_backfill_2026_06_30
80c91ee4-e91a-4592-b2c2-016240656bc7,Lake Havasu Lighthouses (replica trail),Around the lake,no_street_number,admin
664ea5df-445d-4ca8-be3c-7cf0f56865e8,Island Ball Fields,The Island,no_street_number,admin
ab7eba27-3f98-40f1-8907-8f2e7621d718,Site Six,London Bridge Rd (The Island),no_street_number,admin
220d4374-50ae-406b-902a-0561076ac5a1,Robyn Parrott Park,Lake Havasu City,bare_city_no_street,admin
6abb06dd-df55-453c-ac22-11ba6d51e628,Advanced Animal Care,Lake Havasu City,bare_city_no_street,admin
3f9681bb-d05a-42e4-aecd-ef28747937d7,Site Six Launch Ramp,"Beachcomber Blvd, Lake Havasu City, AZ 86403",no_street_number,google_places
09c01022-f47b-4447-b188-7d8a9664a58a,Freedom Point Property Management,Lake Havasu City,bare_city_no_street,admin
2416c821-c644-4a1f-9ef6-d8f2f84342c4,Back Nine Golf,"Lake Havasu City, AZ",bare_city_no_street,lhc_golf
417143e2-c529-4774-8fa9-c3666568d96a,KRT Pool Care,Lake Havasu City,bare_city_no_street,admin
45ebf570-d895-4f7b-b096-0cad7836df65,Seibukan Karate-Do,Lake Havasu City,bare_city_no_street,admin
5f1adbd8-5112-43af-98dc-799164d71eae,Next Generation Mixed Martial Arts,Lake Havasu City,bare_city_no_street,admin
621aee98-b393-452f-9606-78cf886d9b76,Bee's Rentals,Lake Havasu City (86403),bare_city_no_street,admin
247bd223-06da-47eb-8d5b-5b8d062ca168,Three Dunes Trail,"AZ Hwy. 95 @ Lake Shore Blvd., Lake Havasu City, AZ 86406",bare_city_no_street,go_lake_havasu
35a4a323-8953-491b-8a60-3273a28b940a,Havasu Soft Wash,Lake Havasu City (mobile),bare_city_no_street,admin
37d09f43-e737-43f2-b0ef-ff84aaffa818,U-Haul Moving & Storage,Lake Havasu City,bare_city_no_street,admin
888d1ef1-3da4-4f8e-a056-01583b6149e5,Bliss Pool Care,Lake Havasu City,bare_city_no_street,admin
a88d3bd0-6ea2-4edb-b41f-d444db3c23d8,Alpine Plumbing & Air,Lake Havasu City,bare_city_no_street,admin
cd930d18-2822-4c3a-82b9-11eced5ac37a,Aqua Beginnings Swim Lessons,Lake Havasu City,bare_city_no_street,admin
d7e5b067-f014-4f24-bc1b-3477ea06030d,River Palm Landscaping,Lake Havasu City,bare_city_no_street,admin
e90cbbae-2411-4118-9f9b-3def765a5555,Reinhard Pool & Spa,Lake Havasu City,bare_city_no_street,admin
fe4228b9-d6cc-4d4f-8107-ff4a85d330b4,Indian Bend Park,Lake Havasu City,bare_city_no_street,admin
a7c1664f-fc17-4471-a04a-fd090d77f80b,JD'S Junk Removal,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
aaea4f1c-4e91-4cda-9c72-306bb1388abc,AAA Rousse Junk Removal,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
0bedcebb-d60d-46ca-a2cf-7cf9119cdb75,LHC Cleanup Services (Get It Done),"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
1d9f26aa-e1f4-4285-9a04-b3310ea86dcf,HomeRiver Group Lake Havasu,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
a8e0888e-b264-4d81-8e7b-c35740691b42,Arizona Living Rentals & Property Management,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
486787de-ef81-472d-9118-b3ac5d7d6594,Havasu Realty Property Management,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
cf9a88d8-b4c8-40d6-b685-663ca91e9275,UNlimited RE Property Management,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
dbb5da51-cc9b-450b-b173-80b6972d40c5,A & E Auto Glass,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
021e4a49-b0ca-40ef-8db4-5b6fa0f841fa,Jim's House of Glass,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
32a8097a-2ea6-49e8-938b-f6293f2dd807,SafePro Auto Glass,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
0fded4a5-1062-4ad8-8079-8cde2bda219f,Safelite AutoGlass,"Acoma Blvd W, Lake Havasu City, AZ",no_street_number,seed_service_coverage_2026_06_20
e50afecd-00a2-454d-8740-925be5970e5f,Iced Out PPF,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
3a97f0d9-9e78-4127-aa80-bf9e34a73a40,All In 1 Services,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
37ffeadc-bcfc-4460-9e1e-4ba44be295e9,Havasu Pressure Washing,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
6daf04a2-9085-4eca-96ed-516f1271ef8e,Havasu Lock & Key Service,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
82b4c25b-e6a2-499d-9294-eef473486451,Lock & Key Rescue,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
5fd391c1-fc29-4a12-8b6d-3a2815641d4e,Integrity Garage Door Repair LLC,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
06beac77-2d15-4ffe-b4ab-5a012006b0a6,Mohave Garage Door,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
2ed42beb-5f0e-4a66-bd07-f162c57f6823,Arizona Awning & Shade LLC,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
7de532c5-b269-4f0b-a0b5-4732a8398ba7,Apollo PowerScreens,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
6174970e-e021-4340-8f14-dbe7818872cd,Outdoor Elements,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
732f60d1-bfe9-4e2c-9197-9dde12e59fca,Screenworks,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
8709dd2f-16bb-466f-a45f-ba2870d823b7,Havasu Tropical Oasis Floating Rentals,"Lake Havasu City, AZ 86403",bare_city_no_street,go_lake_havasu
02f5993f-b28d-47c3-82d6-880e17e809a2,Affordable Plumbing & Appliance Service LLC,"Lake Havasu City, AZ",bare_city_no_street,"seed_service_coverage_2026_06_20,admin"
26d9e208-4a3d-46ab-ac92-026ddcdf069c,A-Lucky Pawn,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
8ea318f8-43e2-490f-9c5c-7f4054e45863,Blair's Affordable Appliance Repair,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
1a31deac-cbe7-4fa5-bc25-c9ae4140137e,Quality Rain Gutters Inc,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
1fe07dd9-97e3-4053-8c50-58dbe043dd88,Mansell Welding Inc,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
34785e97-dd81-4ebd-8723-5191049efd82,Ryan's Drywall Services & Finishes,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
36e51f9a-04ef-40cc-a6a9-472892202269,Southwest Seamless Rain Gutters,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
3811be07-c3ab-4d83-b957-70ad52539251,JB Windows & Glass,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
3e1c8dc6-a679-4941-92e3-c669214803e7,Scott Crane Roofing (Gutters),"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
439719dd-96aa-4711-a798-912697349906,Pro Line Welding & Fabrication,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
4a05080a-d260-4305-a101-73737997506c,River Valley Window & Door LLC,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
53fc580e-2ca7-499d-9038-587ab1384cdb,Mainline Welding,"Lake Havasu City, AZ",bare_city_no_street,seed_service_coverage_2026_06_20
