entity_id,name,dept_slug,leaf_slug,backing,has_website,has_hours,has_address,has_phone,current_website
511cb5d8-6d2b-417a-ba6a-b5bb13428c43,Amore Pie & More,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.newamorepieandmore.com/
c0f6631e-57d2-4410-b184-f25aa4a81a97,Baskin-Robbins,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://locations.baskinrobbins.com/az/lake-havasu-city/85-lake-havasu-ave-n?utm_source=google&utm_medium=organic&utm_campaign=Yext
7c35cf3b-f678-42e7-a330-b26729d41643,Batter Up Bakery,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
7dc7cc8e-6817-45af-811d-2eafd81df20e,Berry Cherry Frozen Yogurt,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
b1460a0b-50e5-4e67-9972-0c392a72e8f8,Cakelicious Creations,eat-and-drink,bakeries-and-desserts,provider,0,0,1,0,
5cda3872-4c65-4d51-95d0-c6d17d2b413f,Churned Creamery - Lake Havasu City,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://churned-creamery.com/
52ef0a53-d7ee-4f3c-9cbc-2320e4ba0bff,Cool Treats,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
66c484cc-72be-4fbb-b242-02b1d5bf07e9,Donut Post,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://donutposthavasu.com/
f8efa3b3-e96b-4854-a3d6-8ee8ce7d4c7f,Donut Post South,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://donutposthavasu.com/
5acdcfde-f66a-4c8c-a0bb-a5eef9ed5d57,Dose of Sugar,eat-and-drink,bakeries-and-desserts,provider,1,0,1,0,https://doseofsugar.net/
64019c79-29d7-442a-8e2d-83af8549a36c,Farn stand goods,eat-and-drink,bakeries-and-desserts,provider,0,0,1,0,
3dd19127-a3ef-45a6-baff-7f113082e413,Frozen Spoon,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.frozenspoonyogurt.com/
334d2f0d-1243-4ff1-9aed-2c6307a66c03,Harvest Moon Bakery,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
154a7afe-471a-4ce2-86af-d1f45f08ca88,Havasu,eat-and-drink,bakeries-and-desserts,place,0,0,1,0,
3203755a-7110-4417-83f5-271ed4c49afe,Heather's Water & Ice,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.facebook.com/heatherswaternice
f8b61223-6c92-49b4-9063-7b3a85a27084,Kreations by Kendra,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://facebook.com/kreationsbykendra
6e4c008e-4a79-4a5a-925c-caa86fed2be8,LA MICHOACANA,eat-and-drink,bakeries-and-desserts,provider,1,0,1,0,https://www.facebook.com/profile.php?id=100085299109638&mibextid=LQQJ4d
5aff1977-3c14-4aa1-b54a-e6459d14c4c6,Megan And Erik's Water and Ice and Ice Cream,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.facebook.com/megananderikswaterandice/?ref=py_c
67f2be83-8159-4404-949c-e4d299ab2ef4,Megan and Erik's Water and Ice and Ice Cream Smith's,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.facebook.com/megananderikswaterandice
e885c6d2-5efd-4b75-ae1b-07a32bb00c88,Ronica's Sweet Buns,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://ronicassweetbuns.com/
89a1f5d0-c3ce-4235-bc63-e2c64c8c5ee3,Safeway Bakery,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://local.safeway.com/safeway/az/lake-havasu-city/1650-mcculloch-blvd-n/bakery.html
956d6bf6-430d-4114-9afd-f90f976f3000,Scoops Homemade Ice Cream,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.scoopshomemade.com/
77d742fe-a637-43c9-b442-3caec5dba9d8,Shugrue's Cornerside Bakery,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,http://shugrueslakehavasu.com/bakery
3602fda3-6687-4e2f-af50-0d1c5a25149e,Smallcakes: Cupcakery & Creamery,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.smallcakescupcakery.com/
a094f4a4-182a-4732-bd6d-550b889eb674,Sweet Creations,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
a654c04a-cd6b-4bfc-a5bc-d6cf4d04807e,Sweet Treats & More,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
bad321ae-3b5e-4627-bd92-cf22e2ae34b7,The Local Craving,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
91aa38f1-5058-41e6-a631-a82602cd66af,Walmart Bakery,eat-and-drink,bakeries-and-desserts,provider,1,0,1,1,https://www.walmart.com/store/1364-lake-havasu-city-az/bakery/
6a8c43d2-9ca6-4b46-9cc9-4be93e1985fd,Yogurt Paradise,eat-and-drink,bakeries-and-desserts,provider,0,0,1,1,
cded2f9d-fae6-4399-9066-f98f27a29387,Barley Brothers Brewery,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://barleybrothers.com/
6b936ae1-236e-42d0-bd00-95e42caa02c5,Best Brews Taproom,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://m.facebook.com/bestbrewstaproom
a4d6a947-e80a-45e9-81c8-3f3f2db5eaf1,BJ's | Cabana Bar & Karaoke,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://bjscabanabar.com/
125da8ea-4140-469d-891c-dec7d0f28b61,Bogeys & Stogies,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://www.ironwolfgcc.com/bars-grills-restaurants-lake-havasu-az
17aef7a5-6411-41a4-99eb-0220f3e777b5,College Street Brewhouse & Pub,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://www.collegestreetbrewhouseandpub.com/
e4b3b542-df36-4f76-99ae-d0ecc3188b29,Copper Still Distillery,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://copperstilldistillery.com/
0568edd7-bf0c-405a-8666-2f0bcb856895,Desert Martini,eat-and-drink,bars-and-breweries,provider,1,0,1,0,https://www.facebook.com/desertmartini
f2028947-05ce-4687-a096-a2a95fe080e1,Farmer's Tavern,eat-and-drink,bars-and-breweries,provider,0,0,1,0,
d4381683-2288-4b41-bf54-0f74f3208e1f,Flying X Saloon,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://flyingxsaloon.com/
7642fa01-4c16-43e9-bfec-ab902a23de77,Gallagher's Dining & Pub,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://www.gallaghersllc.com/
90f5ea55-cc7a-4098-b26a-fff683925e51,Ghost Mine Saloon,eat-and-drink,bars-and-breweries,provider,1,0,0,1,https://ghostminesaloon.com/
9302dfce-77a4-41cc-b12c-ca381bcec26b,Glitch Barcadium,eat-and-drink,bars-and-breweries,provider,1,0,1,1,https://www.glitchbarcadium.com/
6fe7567a-f5c6-4459-a0aa-49eaa5d796c5,Grapes N Grains,eat-and-drink,bars-and-breweries,provider,0,0,1,1,
