entity_id,name,google_type,signal,confidence,proposed_department,proposed_leaf
d9311e9d-42da-4b6e-8411-07b41447db64,Hava Captain,,llm_keyword,low,Things to Do & Attractions,Tours & Sightseeing
0697fd33-af74-4074-aa91-336750d900cc,Circle K | Gas Station,gas_station,google_type,high,"Auto, RV & Marine",Gas Stations
3df6ebfc-9609-4f68-a389-d17c3a0b0ca3,Tinnell Memorial Sports Park,,name_keyword,med,Outdoors & Recreation,Parks & Playgrounds
280052a1-7dae-4f32-8258-d1c687ff5be9,Wanderlust Balloons,,llm_judgment,low,Things to Do & Attractions,Tours & Sightseeing
91246bac-2d1e-4ffc-96fb-cb01a18cda98,Motor and Boat Texaco,gas_station,google_type,high,"Auto, RV & Marine",Gas Stations
d2d2bf8e-cc62-498f-865b-b8c5fa391d55,Emerald Canyon Golf Course,,name_keyword,med,Outdoors & Recreation,Golf Courses
9c83431a-93a0-4760-9d27-0d6842c47b6a,Shell,gas_station,google_type,high,"Auto, RV & Marine",Gas Stations
1620e8b4-b1a6-4b3e-8606-a7236d1969e3,Domn8er Power Boats,supplier,llm_keyword,low,On the Water,Boat & Watercraft Rentals
98512a35-5776-47ea-ac3d-52a1a0cd0949,Keenan Supply,manufacturer,name_keyword,med,Shopping & Retail,Hardware & Home Improvement
6d096f0f-20fb-408c-8959-d3f871708974,Cycle Therapy Bike & E-bike Shop,bicycle_store,google_type,high,Shopping & Retail,Sporting Goods
abfabf9a-5a50-4710-80be-7f84e453f0ab,Boat-In Beaches & Campsites,,llm_judgment,low,On the Water,Beaches & Swim Areas
471fb911-3806-4b10-8eb9-fc722169d64a,Xtreme Speed And Marine,service,llm_keyword,low,On the Water,Boat & Watercraft Rentals
a0523db0-3e0c-46ce-bfce-4c220fec3a27,Castle Rock Estates,mobile_home_park,google_type,high,Lodging,RV Parks & Campgrounds
aef65dd6-41ec-4c67-8766-84270341bd46,Site Six Launch Ramp,,provider_subcat,high,Things to Do & Attractions,Landmarks & Sights
6712fde3-d7f4-4e76-a396-b0b834cef492,Lake Havasu City Vet Center,service,name_keyword,high,Pets,Veterinarians
a28122dd-abc2-4328-ad67-e8796a34e392,Tiger Towing,service,llm_keyword,low,"Auto, RV & Marine",Towing & Roadside
41cb9ca9-6b8e-4c31-a705-26f43ad2dd33,Smith's Pharmacy,pharmacy,google_type,high,Health & Medical,Pharmacies
bc360f6d-ac00-4aac-8332-30e83549d8e2,Jr Motors RV & Marine,car_dealer,google_type,high,"Auto, RV & Marine",Car Dealerships
5e63e971-8d5c-45fd-bab1-46ab01b983a5,Morgan Motorsports,sporting_goods_store,google_type,high,Shopping & Retail,Sporting Goods
9cbf82cd-d948-4ec7-ae86-f32884d44261,Food City,grocery_store,google_type,high,Shopping & Retail,Grocery & Markets
d8bf5c61-8cb8-4262-b2ac-02bf6e8d9833,W.A.V.E. Culinary and Hospitality,educational_institution,google_type,high,Family & Education,Colleges & Higher Ed
