ec_id,entity_id,name,assigned_leaf,suggested_leaf,suggested_cat_id,confidence,signal,gpc,is_primary
3217,74ba05e1-4b6e-47a2-a9aa-eb8a84a06e8e,Turtle Grille,marinas-and-launch-ramps,bars-and-breweries,35,high,gpc:bar_and_grill,bar_and_grill,False
1463,8b70373e-0fa5-437b-8048-6b8d51c25485,JandJ Performance and Marine Service & Repair,boat-and-watercraft-rentals,boat-repair-and-service,113,high,name,service,False
245,23742b60-f6f3-4d30-bab2-b25d87076442,Mark's Marine Service LLC,on-the-water,boat-repair-and-service,113,high,name,,False
1511,e1b9475e-06f1-4096-8fdc-c6569c850042,BlueWater Resort & Casino,boat-tours-and-charters,casinos-and-gaming,58,high,name,,True
685,79dc0302-5edd-4426-ae2e-84033cfdfaf5,Havasu Landing Resort & Casino,parks-and-playgrounds,casinos-and-gaming,58,high,name,,True
273,933ce742-4ffc-459b-b692-393a5ba88d07,Win Win Bingo Casino,classes-sports-recreation,casinos-and-gaming,58,high,name,,False
1331,933ce742-4ffc-459b-b692-393a5ba88d07,Win Win Bingo Casino,parks-and-playgrounds,casinos-and-gaming,58,high,name,,True
1183,d8075ba5-673d-432f-a1f0-2ed72eb2ca8c,Hav-A-Tech Computers & Phone Repair,auto-repair,computer-and-it-repair,138,high,name,service,True
3142,d8075ba5-673d-432f-a1f0-2ed72eb2ca8c,Hav-A-Tech Computers & Phone Repair,appliances-and-electronics,computer-and-it-repair,138,high,name,service,False
1118,0f1a2d79-ee54-4adf-8598-437343db2ce7,Marshall's Computers - Computer Repair in Lake Havasu City,auto-repair,computer-and-it-repair,138,high,name,,True
529,36aedc71-0d3b-442b-a30b-e4c32fdc0779,ReConnected Phone & Device Repair - Lake Havasu City,auto-repair,computer-and-it-repair,138,high,name,service,True
3103,36aedc71-0d3b-442b-a30b-e4c32fdc0779,ReConnected Phone & Device Repair - Lake Havasu City,appliances-and-electronics,computer-and-it-repair,138,high,name,service,False
482,3d978b56-eeab-4e7d-9ce3-d5b6a1d98da3,Bridgewater Links Disc Golf Course,classes-sports-recreation,disc-golf,50,high,name,,False
483,a4b96f6e-62c6-4860-a99b-899b0c0a3e08,Grand Island Disc Golf Course,classes-sports-recreation,disc-golf,50,high,name,,False
485,e37ef621-2ac1-47a3-9c5d-9f096ba7baae,Mohave Valley Community Park Disc Golf Course,classes-sports-recreation,disc-golf,50,high,name,,False
487,59a754cb-b483-4b48-bd37-d9adf8cfb7d8,Riverview Disc Golf Course,classes-sports-recreation,disc-golf,50,high,name,,False
484,beb4fe1d-570a-49ac-a8f7-789a46584bfc,SARA Park Disc Golf Course,classes-sports-recreation,disc-golf,50,high,name,,False
